#Draine & li (2006) dust model effective quantities
#  wave      Cabs     Cscat    Tau      albedo    g
#  [um]     [cm^2]    [cm^2]   [/N_H]             
#
      0.36522301   6.2628021e-16   9.9862050e-16   7.8545800e-22      0.61457324      0.57255311
      0.36863976   6.1749132e-16   9.9186708e-16   7.7794503e-22      0.61631212      0.57270642
      0.37208848   6.0874934e-16   9.8505088e-16   7.7042439e-22      0.61805167      0.57300395
      0.37556947   6.0023437e-16   9.7824806e-16   7.6301994e-22      0.61973959      0.57339751
      0.37908301   5.9199800e-16   9.7179830e-16   7.5592084e-22      0.62143535      0.57338363
      0.38262943   5.8384515e-16   9.6540721e-16   7.4889047e-22      0.62314394      0.57331396
      0.38620903   5.7570868e-16   9.5895640e-16   7.4183914e-22      0.62486364      0.57333432
      0.38982211   5.6762017e-16   9.5244529e-16   7.3478186e-22      0.62658176      0.57344895
      0.39346900   5.5972585e-16   9.4587336e-16   7.2778905e-22      0.62823715      0.57367785
      0.39715000   5.5179476e-16   9.3920065e-16   7.2072974e-22      0.62991519      0.57394026
      0.40086544   5.4393558e-16   9.3209799e-16   7.1349736e-22      0.63148834      0.57351978
      0.40461564   5.3619912e-16   9.2473437e-16   7.0619816e-22      0.63297500      0.57277238
      0.40840093   5.2858809e-16   9.1730192e-16   6.9892632e-22      0.63442026      0.57211545
      0.41222162   5.2104480e-16   9.0979998e-16   6.9165363e-22      0.63584813      0.57155757
      0.41607806   5.1367506e-16   9.0222792e-16   6.8443094e-22      0.63721027      0.57113100
      0.41997058   5.0636307e-16   8.9459873e-16   6.7720855e-22      0.63856040      0.57080280
      0.42389951   4.9919852e-16   8.8723575e-16   6.7018611e-22      0.63994073      0.57033131
      0.42786520   4.9216153e-16   8.8010743e-16   6.6333876e-22      0.64135199      0.56972334
      0.43186799   4.8515496e-16   8.7291245e-16   6.5647390e-22      0.64276077      0.56918434
      0.43590823   4.7826727e-16   8.6565021e-16   6.4963399e-22      0.64412453      0.56873548
      0.43998626   4.7148209e-16   8.5832007e-16   6.4281081e-22      0.64544945      0.56837310
      0.44410244   4.6470993e-16   8.5092138e-16   6.3596079e-22      0.64677799      0.56809332
      0.44825714   4.5800061e-16   8.4332006e-16   6.2904319e-22      0.64804939      0.56746509
      0.45245070   4.5138836e-16   8.3544299e-16   6.2203922e-22      0.64922493      0.56624185
      0.45668349   4.4476505e-16   8.2748678e-16   6.1499166e-22      0.65041116      0.56507149
      0.46095588   4.3821198e-16   8.1945619e-16   6.0794208e-22      0.65156788      0.56399226
